brand_name,generic_name,year,drug_class,matched_terms,marketed_name_type,scope_status
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Inpen (For Humalog),"Insulin Pen,reusable,bt Lispro",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Inpen (For Humalog),"Insulin Pen,reusable,bt Lispro",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Inpen (For Novolog Or Fiasp),"Insulin Pen,reusable,bt,aspart",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Inpen (For Novolog Or Fiasp),"Insulin Pen,reusable,bt,aspart",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod 5 Dexg7g6 Pods (Gen 5),"Insulin Pump Cart,auto,bt,g6/7",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod 5 G6 Intro Kit (Gen 5),"Insulin Pump Cart,auto,bt/Cntr",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod 5 G6 Intro Kit (Gen 5),"Insulin Pump Cart,auto,bt/Cntr",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod 5 G6 Pods (Gen 5),"Insulin Pump Cart,automated,bt",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod 5 G6 Pods (Gen 5),"Insulin Pump Cart,automated,bt",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod Classic Pods (Gen 3),"Insulin Pump Cart,cont Inf,rf",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod Classic Pods (Gen 3),"Insulin Pump Cart,cont Inf,rf",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Omnipod Classic Pods (Gen 3),"Insulin Pump Cart,cont Inf,rf",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 20,"Sub-Q Insulin Device, 20 Unit",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 20,"Sub-Q Insulin Device, 20 Unit",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 20,"Sub-Q Insulin Device, 20 Unit",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 30,"Sub-Q Insulin Device, 30 Unit",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 30,"Sub-Q Insulin Device, 30 Unit",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 30,"Sub-Q Insulin Device, 30 Unit",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 40,"Sub-Q Insulin Device, 40 Unit",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 40,"Sub-Q Insulin Device, 40 Unit",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
V-Go 40,"Sub-Q Insulin Device, 40 Unit",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Advocate Syringes,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Advocate Syringes,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Advocate Syringes,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Droplet Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Droplet Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Droplet Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Glide Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Glide Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Glide Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy-Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy-Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy-Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Elite-Thin,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Healthwise Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Healthwise Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Lite Touch,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Lite Touch,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Monoject Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Monoject Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Monoject Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Precision,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
