brand_name,generic_name,year
Acarbose,Acarbose,2022
Actoplus Met,Pioglitazone Hcl/Metformin Hcl,2022
Actos,Pioglitazone Hcl,2022
Adlyxin,Lixisenatide,2022
Admelog,Insulin Lispro,2022
Admelog Solostar,Insulin Lispro,2022
Advocate Syringes,"Syringe And Needle,insulin,1ml",2022
Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",2022
Afrezza,"Insulin Regular, Human",2022
Alogliptin,Alogliptin Benzoate,2022
Alogliptin-Metformin,Alogliptin Benz/Metformin Hcl,2022
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,2022
Amaryl,Glimepiride,2022
Apidra,Insulin Glulisine,2022
Apidra Solostar,Insulin Glulisine,2022
Basaglar Kwikpen U-100,"Insulin Glargine,hum.Rec.Anlog",2022
Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",2022
Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",2022
Bydureon Bcise,Exenatide Microspheres,2022
Bydureon Pen,Exenatide Microspheres,2022
Byetta,Exenatide,2022
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",2022
Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Droplet Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Easy Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Easy Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Easy Glide Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Easy Glide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Easy Touch,"Syringe And Needle,insulin,1ml",2022
Easy Touch,"Syringe-Needle,insulin,0.5 Ml",2022
Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Easy Touch Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Easy-Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Exel Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Farxiga,Dapagliflozin Propanediol,2022
Fiasp,Insulin Aspart (Niacinamide),2022
Fiasp Flextouch,Insulin Aspart (Niacinamide),2022
Fiasp Penfill,Insulin Aspart (Niacinamide),2022
Glimepiride,Glimepiride,2022
Glipizide,Glipizide,2022
Glipizide Er,Glipizide,2022
Glipizide Xl,Glipizide,2022
Glipizide-Metformin,Glipizide/Metformin Hcl,2022
Glucotrol Xl,Glipizide,2022
Glumetza,Metformin Hcl,2022
Glyburide,Glyburide,2022
Glyburide Micronized,"Glyburide,micronized",2022
Glyburide-Metformin Hcl,Glyburide/Metformin Hcl,2022
Glyxambi,Empagliflozin/Linagliptin,2022
Healthwise Insulin Syringe,"Syringe And Needle,insulin,1ml",2022
Healthwise Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022
Humalog,Insulin Lispro,2022
Humalog Junior Kwikpen,Insulin Lispro,2022
Humalog Kwikpen U-100,Insulin Lispro,2022
Humalog Kwikpen U-200,Insulin Lispro,2022
